Modell;Hersteller;Typ;Generation;Kapazität;Taktfrequenz;Timings;Spannung
Ripjaws Z;G.Skill;DIMM;DDR3;16 GB (4x4 GB);2133 MHz;CL9-11-10-28;1.65V
TridentX;G.Skill;DIMM;DDR3;16 GB (2x8 GB);2400 MHz;CL10-12-12-31;1.65V
HyperX Beast;Kingston;DIMM;DDR3;16 GB (2x8 GB);2400 MHz;CL11-13-13;1.65V
HyperX Fury Blue;Kingston;DIMM;DDR3;8 GB (2x4 GB);1600 MHz;CL10;1.5V
HyperX Savage;Kingston;DIMM;DDR3;16 GB (2x8 GB);1866 MHz;CL9-10-11;1.5V
ValueRAM;Kingston;DIMM;DDR3;4 GB (1x4 GB);1333 MHz;CL9;1.5V
Viper 3;Patriot;DIMM;DDR3;8 GB (2x4 GB);1866 MHz;CL10-11-10-30;1.5V
Ballistix;Crucial;DIMM;DDR2;2 GB (2x1 GB);800 MHz;CL4-4-4-12;2.0V
Dominator;Corsair;DIMM;DDR2;4 GB (2x2 GB);1066 MHz;CL5-5-5-15;2.1V
XMS2;Corsair;DIMM;DDR2;2 GB (2x1 GB);800 MHz;CL5-5-5-18;1.8V
PC2-6400;G.Skill;DIMM;DDR2;4 GB (2x2 GB);800 MHz;CL5-5-5-15;1.8V
HyperX;Kingston;DIMM;DDR2;2 GB (2x1 GB);800 MHz;CL4-4-4-12;2.0V
ValueRAM;Kingston;DIMM;DDR2;2 GB (1x2 GB);667 MHz;CL5;1.8V
FlexXLC;OCZ;DIMM;DDR2;2 GB (2x1 GB);1150 MHz;CL5-5-5-18;2.1V
Reaper HPC;OCZ;DIMM;DDR2;4 GB (2x2 GB);800 MHz;CL4-4-4-15;2.0V
Standard;Crucial;DIMM;DDR;512 MB (1x512 MB);400 MHz (PC3200);CL3;2.6V
ValueSelect;Corsair;DIMM;DDR;512 MB (1x512 MB);400 MHz (PC3200);CL2.5;2.6V
XMS Pro;Corsair;DIMM;DDR;1 GB (2x512 MB);400 MHz (PC3200);CL2-3-3-6;2.75V
Standard;Infineon;DIMM;DDR;256 MB (1x256 MB);266 MHz (PC2100);CL2.5;2.5V
HyperX;Kingston;DIMM;DDR;1 GB (2x512 MB);400 MHz (PC3200);CL2-2-2-5;2.6V
ValueRAM;Kingston;DIMM;DDR;1 GB (1x1 GB);333 MHz (PC2700);CL2.5;2.5V
Standard;Crucial;DIMM;SDRAM;128 MB (1x128 MB);133 MHz (PC133);CL2;3.3V
ValueRAM;Kingston;DIMM;SDRAM;256 MB (1x256 MB);133 MHz (PC133);CL3;3.3V
Standard;Micron;DIMM;SDRAM;512 MB (1x512 MB);133 MHz (PC133);CL3;3.3V
Standard;Samsung;DIMM;SDRAM;64 MB (1x64 MB);100 MHz (PC100);CL2;3.3V
DDR5 SO-DIMM;Crucial;SO-DIMM;DDR5;16 GB (1x16 GB);4800 MHz;CL40;1.1V
DDR5 SO-DIMM;Crucial;SO-DIMM;DDR5;32 GB (2x16 GB);5200 MHz;CL42;1.1V
Vengeance DDR5;Corsair;SO-DIMM;DDR5;32 GB (2x16 GB);4800 MHz;CL40-40-40-77;1.1V
FURY Impact DDR5;Kingston;SO-DIMM;DDR5;32 GB (2x16 GB);5600 MHz;CL40;1.1V
FURY Impact DDR5;Kingston;SO-DIMM;DDR5;64 GB (2x32 GB);5600 MHz;CL40;1.1V
DDR5 SO-DIMM;SK Hynix;SO-DIMM;DDR5;16 GB (1x16 GB);4800 MHz;CL40;1.1V
DDR5 SO-DIMM;Samsung;SO-DIMM;DDR5;8 GB (1x8 GB);4800 MHz;CL40;1.1V
Ballistix Sport LT;Crucial;SO-DIMM;DDR4;16 GB (1x16 GB);2666 MHz;CL16;1.2V
DDR4 SO-DIMM;Crucial;SO-DIMM;DDR4;8 GB (1x8 GB);2666 MHz;CL19;1.2V
DDR4 SO-DIMM;Crucial;SO-DIMM;DDR4;16 GB (2x8 GB);3200 MHz;CL22;1.2V
Vengeance Performance;Corsair;SO-DIMM;DDR4;16 GB (2x8 GB);3200 MHz;CL22;1.2V
Vengeance Performance;Corsair;SO-DIMM;DDR4;32 GB (2x16 GB);2666 MHz;CL18;1.2V
Ripjaws DDR4;G.Skill;SO-DIMM;DDR4;16 GB (2x8 GB);2800 MHz;CL18-18-18-43;1.2V
Ripjaws DDR4;G.Skill;SO-DIMM;DDR4;32 GB (2x16 GB);3200 MHz;CL18-18-18-43;1.35V
FURY Impact;Kingston;SO-DIMM;DDR4;16 GB (1x16 GB);3200 MHz;CL20;1.2V
HyperX Impact (jetzt FURY);Kingston;SO-DIMM;DDR4;16 GB (2x8 GB);2666 MHz;CL15;1.2V
Viper Steel;Patriot;SO-DIMM;DDR4;16 GB (1x16 GB);3000 MHz;CL18-20-20-43;1.35V
DDR4 SO-DIMM;Samsung;SO-DIMM;DDR4;16 GB (1x16 GB);3200 MHz;CL22;1.2V
DDR3L SO-DIMM;Crucial;SO-DIMM;DDR3L;8 GB (1x8 GB);1600 MHz;CL11;1.35V
Mac Memory;Corsair;SO-DIMM;DDR3;8 GB (2x4 GB);1333 MHz;CL9;1.5V
Vengeance Performance;Corsair;SO-DIMM;DDR3L;8 GB (1x8 GB);1600 MHz;CL11;1.35V
Ripjaws;G.Skill;SO-DIMM;DDR3;8 GB (2x4 GB);1600 MHz;CL9-9-9-28;1.5V
HyperX Impact;Kingston;SO-DIMM;DDR3L;8 GB (1x8 GB);1600 MHz;CL9;1.35V
ValueRAM;Kingston;SO-DIMM;DDR3;4 GB (1x4 GB);1333 MHz;CL9;1.5V
Standard SO-DIMM;Samsung;SO-DIMM;DDR3;4 GB (1x4 GB);1600 MHz;CL11;1.5V
Standard;Crucial;SO-DIMM;DDR2;2 GB (2x1 GB);667 MHz;CL5;1.8V
ValueSelect;Corsair;SO-DIMM;DDR2;2 GB (1x2 GB);667 MHz;CL5;1.8V
ValueRAM;Kingston;SO-DIMM;DDR2;1 GB (1x1 GB);800 MHz;CL6;1.8V
Standard;Samsung;SO-DIMM;DDR2;1 GB (1x1 GB);533 MHz;CL4;1.8V
